Neighborhood,num_cha_properties,Avg_cha_monthly_rent,stop_wi_quart_mi,stop_wi_half_mi,percent_wi_quart_mi_l_stop,percent_wi_half_mi_l_stop,num_props_w_potential_bad_landlord,poverty_rate,eviction-filings,evictions,eviction_filing_rate,eviction_rate,evictions_chi_percentile_rank,renter-occupied-households,perc_rentals_hcv,population,perc_hcv_in_neigh,at_least_10_homes,perc_black,perc_latino,perc_white
Calumet Heights,16.0,1010.9375,0.0,0.0,0.0,0.0,0.0,0.07312152234451665,42.0,16.0,0.04325437693099897,0.016477857878475798,0.7715736040609137,971.0,0.016477857878475798,7541.0,0.0030383592859855677,1,0.9538544887945896,0.020158838350351413,0.016172377668744197
Logan Square,16.0,1227.4375,1.0,3.0,0.0625,0.1875,0.0,0.20739416691134316,269.0,79.0,0.014355088318480175,0.004215806606542505,0.29441624365482233,18739.0,0.0008538342494263301,71523.0,0.0030383592859855677,1,0.05454424590691106,0.594869151182137,0.3130723920976469
Rogers Park,15.0,1434.0,5.0,15.0,0.3333333333333333,1.0,0.0,0.18754649104611767,427.0,143.0,0.02704928417585202,0.009058659571772456,0.5583756345177665,15786.0,0.0009502090459901178,43389.0,0.00284846183061147,1,0.22079673189057133,0.21867400262739403,0.46193695867616225
Galewood,13.0,1442.3076923076924,0.0,0.0,0.0,0.0,0.0,0.19856260688009544,71.0,18.0,0.028838342810722988,0.007311129163281885,0.47715736040609136,2462.0,0.005280259951259139,20116.0,0.0024686669198632737,1,0.244527182342414,0.5025934181745874,0.2151156094651024
Hyde Park,13.0,1745.0,0.0,0.0,0.0,0.0,0.0,0.08951773798699028,103.0,44.0,0.021707060063224447,0.009272918861959958,0.5685279187817259,4745.0,0.0027397260273972603,14297.0,0.0024686669198632737,1,0.25816246065608167,0.0684615513744142,0.4875122892914597
Princeton Park,13.0,1023.4615384615385,0.0,11.0,0.0,0.8461538461538461,0.0,0.1889929661777911,19.0,3.0,0.04960835509138381,0.007832898172323759,0.5177664974619289,383.0,0.033942558746736295,3341.0,0.0024686669198632737,1,0.9757580365160131,0.0036007782101167315,0.0
Fernwood,12.0,1338.3333333333333,0.0,0.0,0.0,0.0,0.0,0.22011017426509416,41.0,9.0,0.06507936507936508,0.014285714285714285,0.7309644670050761,630.0,0.01904761904761905,5681.0,0.002278769464489176,1,0.9846945432142228,0.003169970075690899,0.008258880478788946
Near West Side,11.0,1395.4545454545455,2.0,11.0,0.18181818181818182,1.0,0.0,0.2656077667200223,190.0,69.0,0.04600484261501211,0.016707021791767553,0.7817258883248731,4130.0,0.0026634382566585956,14369.0,0.002088872009115078,1,0.6006505184772776,0.06749949892128888,0.26145209826710275
Rosemoor,11.0,1069.8181818181818,0.0,2.0,0.0,0.18181818181818182,0.0,0.07312579092159559,23.0,8.0,0.03739837398373984,0.013008130081300813,0.7106598984771574,615.0,0.01788617886178862,5816.0,0.002088872009115078,1,0.9355198418156807,0.015308149931224209,0.018904470426409904
Little Village,11.0,1231.8181818181818,1.0,6.0,0.09090909090909091,0.5454545454545454,0.0,0.3468251242993317,299.0,88.0,0.024089590718659362,0.007089912987431518,0.467005076142132,12412.0,0.0008862391234289397,63154.0,0.002088872009115078,1,0.02617505146150679,0.9401848703170028,0.027863604838965075
Gage Park,11.0,924.9090909090909,1.0,1.0,0.09090909090909091,0.09090909090909091,0.0,0.22235371038203303,103.0,30.0,0.026036400404448937,0.007583417593528817,0.48223350253807107,3956.0,0.002780586450960566,34107.0,0.002088872009115078,1,0.02644300290262996,0.9312272084909256,0.03286345325006596
East Side,10.0,1247.5,0.0,0.0,0.0,0.0,0.0,0.1759225989192958,18.0,5.0,0.01607142857142857,0.004464285714285714,0.30456852791878175,1120.0,0.008928571428571428,11474.0,0.0018989745537409798,1,0.018830791354366393,0.7883053337981524,0.18999972110859334
Hermosa,10.0,1227.5,0.0,0.0,0.0,0.0,0.0,0.2474919836858442,155.0,54.0,0.029501332318233726,0.010277883517320136,0.6192893401015228,5254.0,0.001903311762466692,27706.0,0.0018989745537409798,1,0.029303006568974235,0.8994499891720206,0.05449812315022017
Oakland,9.0,1218.5555555555557,0.0,0.0,0.0,0.0,0.0,0.2828830205096333,171.0,69.0,0.060445387062566275,0.024390243902439025,0.9035532994923858,2829.0,0.003181336161187699,8045.0,0.001709077098366882,0,0.9307698694841517,0.02162558110627719,0.03031705407085146
Albany Park,9.0,1611.6666666666667,4.0,8.0,0.4444444444444444,0.8888888888888888,0.0,0.18717056787433675,205.0,64.0,0.01716342933690556,0.0053583389149363695,0.37055837563451777,11944.0,0.000753516409912927,56914.0,0.001709077098366882,0,0.042402435253189034,0.5271818691358893,0.2827585760972695
Brighton Park,9.0,1042.2222222222222,0.0,1.0,0.0,0.1111111111111111,0.0,0.2645876148283275,208.0,50.0,0.022172476281846286,0.005329922183136126,0.36548223350253806,9381.0,0.0009593859929645027,61396.0,0.001709077098366882,0,0.10682617760114667,0.7445048944556647,0.0797426118965405
Cottage Grove Heights,9.0,1369.4444444444443,0.0,0.0,0.0,0.0,0.0,0.2999005773672055,22.0,3.0,0.08764940239043825,0.01195219123505976,0.6802030456852792,251.0,0.035856573705179286,1732.0,0.001709077098366882,0,0.9873123556581986,0.0,0.012687644341801387
Avalon Park,9.0,1090.4444444444443,0.0,0.0,0.0,0.0,0.0,0.2609,15.0,3.0,0.08823529411764706,0.01764705882352941,0.8071065989847716,170.0,0.052941176470588235,852.0,0.001709077098366882,0,0.9753999999999999,0.0,0.0246
Kenwood,8.0,1836.0,0.0,0.0,0.0,0.0,0.0,0.07491906367526908,107.0,44.0,0.042309213127718466,0.017398181099248716,0.7969543147208121,2529.0,0.0031633056544088573,7711.0,0.0015191796429927839,0,0.7164988976786408,0.03994352224095448,0.17548128647386851
East Hyde Park,7.0,1314.2857142857142,0.0,0.0,0.0,0.0,0.0,0.08964549779735682,129.0,55.0,0.028246113422377928,0.01204291657543245,0.6852791878172588,4567.0,0.001532734836873221,11350.0,0.001329282187618686,0,0.3880115947136563,0.08059741850220264,0.34809477533039646
Portage Park,7.0,1260.7142857142858,0.0,0.0,0.0,0.0,0.0,0.09999480538890193,172.0,57.0,0.023401360544217688,0.007755102040816327,0.5076142131979695,7350.0,0.0009523809523809524,46837.0,0.001329282187618686,0,0.008139763434891218,0.4394581356619766,0.4881428528727288
Edgewater Beach,6.0,1448.1666666666667,6.0,6.0,1.0,1.0,0.0,0.16798548114503006,365.0,94.0,0.02476591124983037,0.006378070294476863,0.4416243654822335,14738.0,0.00040711086986022527,37868.0,0.001139384732244588,0,0.1677077241998521,0.12160943804795606,0.5429794126967361
Clearing (W),5.0,1570.0,0.0,0.0,0.0,0.0,0.0,0.10652572742777404,50.0,16.0,0.023730422401518746,0.007593735168485999,0.4873096446700508,2107.0,0.0023730422401518746,19349.0,0.0009494872768704899,0,0.0037676003927851567,0.44797610729236653,0.5204940823815185
West Chesterfield,5.0,1282.4,0.0,0.0,0.0,0.0,0.0,0.13571183138505138,28.0,7.0,0.05017921146953405,0.012544802867383513,0.700507614213198,558.0,0.008960573476702509,5646.0,0.0009494872768704899,0,0.9757550301098122,0.004248866454126816,0.006400726177825009
Belmont Gardens,5.0,1340.0,0.0,0.0,0.0,0.0,0.0,0.18611006580550815,42.0,16.0,0.027433050293925537,0.010450685826257348,0.6243654822335025,1531.0,0.0032658393207054214,8206.0,0.0009494872768704899,0,0.018286473312210578,0.795743626614672,0.14661060199853768
West Lawn,5.0,1281.0,0.0,0.0,0.0,0.0,0.0,0.12676105194166803,94.0,30.0,0.033380681818181816,0.01065340909090909,0.6345177664974619,2816.0,0.0017755681818181818,36618.0,0.0009494872768704899,0,0.0385318968813152,0.7976240783221369,0.1537491015347643
Jackson Park Highlands,5.0,798.6,0.0,0.0,0.0,0.0,0.0,0.0,32.0,19.0,0.08290155440414508,0.04922279792746114,1.0,386.0,0.012953367875647668,1167.0,0.0009494872768704899,0,0.8945928877463583,0.0,0.049714310197086546
South Loop,5.0,2108.2,4.0,5.0,0.8,1.0,0.0,0.07389082115800866,324.0,126.0,0.025079340506231132,0.009753076863534329,0.5939086294416244,12919.0,0.0003870268596640607,44352.0,0.0009494872768704899,0,0.22214963924963935,0.056617751172438675,0.5148655573593075
Pill Hill,5.0,1157.0,0.0,0.0,0.0,0.0,0.0,0.06856239884912786,23.0,6.0,0.06460674157303371,0.016853932584269662,0.7868020304568528,356.0,0.014044943820224719,5561.0,0.0009494872768704899,0,0.9519950548462505,0.012945189714080202,0.022482557094047836
