,apt_ind,wi_quart_mi,wi_half_mi,wi_3_quart,wi_1_mi
1207,4608486,0,0,0,0
1208,4608650,0,0,0,0
1209,4608689,0,0,0,0
1210,4608723,0,0,0,2
1211,4608968,0,0,0,0
1212,4609027,0,0,0,0
1213,4609191,0,0,2,8
1214,4609361,0,0,0,4
1215,4609431,0,0,0,0
1216,4609453,2,4,6,8
1217,4609469,2,2,4,4
1218,4609493,0,0,0,0
1219,4609551,0,0,0,4
1220,4609607,2,4,6,8
1221,4609644,0,0,0,0
1222,4609645,0,0,0,0
1223,4609648,0,0,0,0
1224,4609649,0,0,0,0
1225,4609841,0,2,2,2
1226,4609928,0,2,2,4
1227,4610012,2,2,4,8
1228,4610053,2,2,4,8
1229,4610071,0,0,0,0
1230,4610170,0,0,0,0
1231,4610243,0,0,0,0
1232,4610267,2,4,6,8
1233,4610301,0,0,0,0
1234,4610321,0,0,0,0
1235,4610633,0,0,0,0
1236,4610762,0,0,2,4
1237,4610777,0,0,0,4
1238,4610879,0,0,4,4
1239,4611417,0,2,2,4
1240,4611470,2,2,2,4
1241,4611874,2,2,2,8
1242,4612167,0,0,0,0
1243,4612245,0,2,4,4
1244,4612279,0,0,0,0
1245,4612572,0,0,0,0
1246,4612601,0,0,0,0
1247,4612657,0,0,0,0
1248,4612789,0,0,2,4
1249,4612816,0,0,0,0
1250,4612819,0,0,0,0
1251,4612821,0,0,0,0
1252,4612823,0,0,0,0
1253,4612850,0,2,4,4
1254,4612868,0,4,4,8
1255,4612871,0,0,0,2
1256,4612987,0,0,2,6
1257,4613090,0,0,0,0
1258,4613316,0,0,0,0
1259,4613489,0,2,6,6
1260,4613591,0,0,0,0
1261,4614094,0,0,0,0
1262,4614146,2,4,8,10
1263,4614157,0,0,6,6
1264,4614202,0,4,4,6
1265,4614553,0,0,0,0
1266,4614556,0,0,0,4
1267,4614676,0,0,4,4
1268,4614702,0,0,0,0
1269,4614795,0,0,0,2
1270,4614883,2,4,4,8
1271,4614926,0,0,0,0
1272,4614951,0,0,0,0
1273,4615171,0,0,2,8
1274,4615288,2,2,4,8
1275,4615506,0,0,2,2
1276,4615590,0,0,0,0
1277,4615715,0,0,0,0
1278,4615927,0,0,0,0
1279,4615929,0,0,0,0
1280,4615933,0,0,0,0
1281,4616106,0,0,2,8
1282,4616208,0,2,6,10
1283,4616405,0,0,0,0
1284,4616492,0,0,0,0
1285,4616521,0,0,0,0
1286,4616553,0,2,4,8
1287,4616687,0,0,2,10
1288,4616937,0,0,0,0
1289,4616943,0,0,0,0
1290,4616945,0,0,0,0
1291,4617067,0,0,0,0
1292,4617185,0,0,2,2
1293,4617458,0,0,0,0
1294,4617532,0,0,2,4
1295,4617540,0,0,2,4
1296,4617549,0,0,0,0
1297,4617552,0,0,0,0
1298,4617562,0,2,6,6
1299,4617752,0,2,6,6
1300,4617858,0,0,0,0
1301,4617970,0,0,0,0
1302,4618006,0,0,0,0
1303,4618052,0,4,4,6
1304,4618267,2,2,2,8
1305,4618367,0,0,0,0
1306,4618550,0,0,0,0
1307,4618750,0,0,0,0
1308,4618767,0,0,2,2
1309,4618956,2,4,8,12
1310,4618990,0,0,0,0
1311,4619005,0,0,0,0
1312,4619024,0,2,2,6
1313,4619162,0,2,2,4
1314,4619263,2,2,2,2
1315,4619395,0,0,0,0
1316,4619400,0,0,0,0
1317,4619662,2,2,2,8
1318,4619708,0,2,2,2
1319,4619831,0,0,0,0
1320,4619873,0,0,2,6
1321,4620118,0,0,0,0
1322,4620162,0,0,0,0
1323,4620169,4,4,6,8
1324,4620174,4,4,6,8
1325,4620409,0,0,0,0
1326,4620423,0,0,0,0
1327,4620428,0,0,0,0
1328,4620520,0,0,4,6
