Neighborhood,num_cha_properties,Avg_cha_monthly_rent,stop_wi_quart_mi,stop_wi_half_mi,percent_wi_quart_mi_l_stop,percent_wi_half_mi_l_stop,num_props_w_potential_bad_landlord,poverty_rate,eviction-filings,evictions,eviction_filing_rate,eviction_rate,evictions_chi_percentile_rank,renter-occupied-households,perc_rentals_hcv,population,perc_hcv_in_neigh,at_least_10_homes,perc_black,perc_latino,perc_white
The Loop,1.0,1800.0,1.0,1.0,1.0,1.0,0.0,0.058731737575713344,85.0,23.0,0.018350604490500865,0.004965457685664939,0.34615384615384615,4632.0,0.0002158894645941278,13703.0,0.00018989745537409798,0,0.08011146464277895,0.07165956359921186,0.6385463621104868
Bowmanville,1.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0937059826946848,9.0,2.0,0.00966702470461869,0.0021482277121374865,0.14903846153846154,931.0,0.0010741138560687433,4045.0,0.00018989745537409798,0,0.06500190358467244,0.21480148331273177,0.6699469468479605
University Village - Little Italy,1.0,1088.0,0.0,0.0,0.0,0.0,0.0,0.15544586619348053,99.0,35.0,0.020659432387312188,0.007303839732888147,0.5144230769230769,4792.0,0.00020868113522537563,15216.0,0.00018989745537409798,0,0.34299029968454253,0.0840611001577287,0.3548162986330179
West Chesterfield,1.0,1600.0,1.0,1.0,1.0,1.0,0.0,0.13233202536662703,24.0,6.0,0.05429864253393665,0.013574660633484163,0.7019230769230769,442.0,0.0022624434389140274,5046.0,0.00018989745537409798,0,0.9526466904478794,0.012279785969084425,0.01012705112960761
West Elsdon,1.0,750.0,0.0,0.0,0.0,0.0,0.0,0.1650671269278866,46.0,13.0,0.03178991015894955,0.008984105044920525,0.5865384615384616,1447.0,0.000691085003455425,19192.0,0.00018989745537409798,0,0.013653293038766152,0.8016313568153396,0.16855557523968318
Beverly,1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.015522234966409964,28.0,10.0,0.047377326565143825,0.01692047377326565,0.7740384615384616,591.0,0.001692047377326565,12206.0,0.00018989745537409798,0,0.37595798787481566,0.07931387022775685,0.5239992626577092
Belmont Terrace,1.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.1046280693459417,9.0,4.0,0.017928286852589643,0.00796812749003984,0.5480769230769231,502.0,0.00199203187250996,6345.0,0.00018989745537409798,0,0.02897610717100079,0.16612975571315997,0.7642500709219858
Belmont Heights,1.0,1950.0,0.0,0.0,0.0,0.0,0.0,0.08741561057156504,30.0,10.0,0.021739130434782608,0.007246376811594203,0.5,1380.0,0.0007246376811594203,12562.0,0.00018989745537409798,0,0.011465618532080878,0.19384510428275756,0.747173292469352
West Morgan Park,1.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.027319890153001177,11.0,4.0,0.0502283105022831,0.0182648401826484,0.8052884615384616,219.0,0.0045662100456621,2549.0,0.00018989745537409798,0,0.07690921930168694,0.07100533542565712,0.852085445272656
Avondale,1.0,1325.0,0.0,1.0,0.0,1.0,0.0,0.12870862119870094,71.0,20.0,0.015714918105356353,0.004426737494466578,0.3125,4518.0,0.0002213368747233289,20322.0,0.00018989745537409798,0,0.020662533215234723,0.5188454138372208,0.39400253912016536
West Town,1.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.12326299221235056,135.0,44.0,0.0170261066969353,0.005549249590112246,0.3701923076923077,7929.0,0.0001261193088661874,27351.0,0.00018989745537409798,0,0.1496821542173961,0.22876862271946186,0.5538494789952836
Montclare,1.0,2090.0,0.0,0.0,0.0,0.0,0.0,0.13588763458401307,60.0,18.0,0.02643171806167401,0.007929515418502203,0.5432692307692307,2270.0,0.0004405286343612335,15325.0,0.00018989745537409798,0,0.0423539510603589,0.5952351973898857,0.3029663686786297
Palmer Square,1.0,1450.0,1.0,1.0,1.0,1.0,0.0,0.11388161584973626,32.0,8.0,0.012950222581950627,0.003237555645487657,0.23557692307692307,2471.0,0.0004046944556859571,7773.0,0.00018989745537409798,0,0.042442763411810115,0.4448875595008362,0.4685384021613277
Irving Park,1.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.06563627425944842,52.0,15.0,0.015781487101669194,0.004552352048558422,0.32211538461538464,3295.0,0.00030349013657056146,15664.0,0.00018989745537409798,0,0.02196369382022472,0.4202652196118489,0.43775635214504593
Dunning,1.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.13932569158328428,12.0,3.0,0.015444015444015444,0.003861003861003861,0.2692307692307692,777.0,0.001287001287001287,6796.0,0.00018989745537409798,0,0.014994952913478516,0.2519085491465568,0.6792402295467923
